training_step,reward
14.56,
33.84,
88.0,
94.68,
104.96,
141.48,
191.24,
201.2,
266.72,
323.04,
379.12,
458.96,
484.64,
510.08,
568.28,
586.8,
698.44,
731.48,
771.64,
794.4,
819.24,
843.12,
866.64,
952.92,
974.56,
1006.52,
1069.76,
1104.48,
1167.52,
1290.08,
1315.92,
1357.4,-241.15994386631996
1392.32,-233.79098125194201
1402.16,-229.60037389749664
1443.48,-225.43365313673394
1461.08,-221.51129630679264
1474.04,-216.91780798042194
1510.04,-213.01329460876065
1559.0,-209.2184144284018
1616.96,-206.1995815367438
1667.8,-200.20560643130915
1696.24,-194.40094678798687
1764.84,-189.00388114610683
1801.04,-182.11902657279742
1826.92,-174.62205770770086
1858.24,-168.12400628233326
1873.4,-162.74335365587842
1947.0,-155.06633087033404
1965.04,-148.5563125524111
1992.0,-142.0613260472752
2023.28,-138.63350207397713
2029.12,-135.43771342137825
2041.72,-132.21799014994872
2055.4,-127.2345918778516
2074.12,-123.00535015834492
2108.6,-120.66956671429793
2141.88,-118.81309817014258
2237.28,-118.8837908433191
2273.12,-116.8401749466173
2296.68,-116.34044722286981
2336.8,-114.8244109213538
2368.0,-113.5578214719705
2385.64,-112.11526516282926
2409.8,-112.75966875800857
2426.8,-112.09373033934267
2441.32,-111.24311733014875
2450.0,-110.28642765082411
2468.56,-109.04605325706295
2483.0,-108.61031220473342
2492.6,-107.60876135967666
2505.64,-106.7279665958136
2516.6,-105.55702279776332
2528.76,-104.60563923373815
2544.84,-104.63816625371572
2563.24,-103.35078178837892
2580.6,-102.95943843126292
2628.32,-103.00699079588051
2652.24,-103.21275600224729
2721.6,-105.4299974262714
2750.8,-107.02915711283678
2784.88,-106.94844845227891
2815.48,-107.401870111674
2844.96,-108.2125245456397
2869.16,-108.9156505094468
2883.88,-108.45059312090272
2909.04,-107.08382408604021
2940.04,-107.18429247658696
2956.16,-106.45178498636928
2981.2,-105.76899572040881
2995.44,-105.07871024619783
3020.48,-104.83990280728781
3041.96,-104.06404602108518
3066.4,-104.72619017366316
3081.64,-104.8955807046778
3100.0,-105.02429901776831
3109.68,-104.12727421319109
3135.36,-104.23428461981933
3177.28,-104.7055368418805
3194.48,-105.61052057309075
3221.32,-105.50867791889233
3278.68,-105.70769274322313
3318.24,-104.13396601868789
3348.32,-103.07970841823139
3365.32,-102.65209702899674
3377.44,-101.78377791864793
3397.08,-101.076295057442
3419.96,-100.28369714369992
3447.56,-98.87182219510895
3476.04,-97.09164145996792
3493.24,-94.99005617877467
3509.32,-91.23933360060674
3541.04,-88.41253955712538
3623.04,-88.04698813145977
3656.48,-87.32247324725608
3684.4,-85.94621276607734
3699.16,-83.9682809798978
3736.48,-83.41726373484356
3779.96,-83.24230263462287
3826.16,-82.12529049695466
3883.28,-80.58913089961742
3920.4,-79.4750891843531
3957.0,-78.42135565602217
3980.12,-76.8018477039132
3999.08,-75.71753916612823
4045.92,-75.08238896769467
4073.44,-73.61540543421168
4098.64,-72.87541380512525
4117.4,-71.73070084939707
4161.2,-70.81837412598539
4187.32,-69.67350238147188
4215.96,-68.14621532323767
4229.48,-67.42615094262172
4246.52,-66.08938366013575
4266.72,-66.10222463968208
4353.2,-66.23209969866086
4382.6,-66.48717035318721
4409.88,-67.2343993279617
4420.68,-67.03571145663966
4462.68,-66.42793033096004
4508.04,-66.13592409702946
4544.52,-66.19307157131841
4571.0,-66.15981455060651
4621.48,-66.50430269750763
4647.28,-66.44162910464217
4685.88,-65.73629859211852
4710.4,-64.63408789378589
4731.88,-63.30481727681119
4749.68,-62.43160594395359
4811.76,-61.61478451433588
4841.28,-61.19885879709383
4899.44,-60.34324110310523
4945.4,-60.21703256987034
4963.0,-60.43307671420274
5004.36,-60.58863628959281
5019.32,-60.44970006152986
5067.4,-59.871706819944066
5083.68,-58.77029396295546
5131.2,-59.18512834466993
5157.08,-59.87039699122309
5177.44,-60.380872451998286
5193.72,-60.16784184797666
5208.08,-59.92217714840546
5225.4,-59.15741454167291
5250.48,-59.268705438841124
5275.8,-60.15812489362432
5298.48,-60.672725770566586
5321.12,-60.42084076004102
5343.4,-59.14906708599998
5361.36,-57.71007746430112
5372.76,-56.63890855433418
5383.2,-55.937614771518845
5394.16,-55.82701100567354
5417.32,-55.41759663144125
5439.92,-55.44342799583449
5467.16,-55.402152490708964
5484.32,-55.62650754908098
5493.92,-55.67783352026714
5505.76,-55.8988482660055
5522.6,-56.67668984642251
5540.96,-57.21333815714343
5549.72,-57.37200654605403
5591.04,-56.96649323729797
5616.44,-56.91547070285304
5640.52,-55.88272683927787
5662.24,-55.04563871512188
5673.44,-54.68617937777189
5699.32,-54.77774943323804
5718.96,-54.94912639869375
5771.6,-55.5523161135055
5793.64,-54.73012363275511
5827.68,-53.91498820530249
5845.76,-53.653179136421514
5869.8,-53.602627056101326
5903.88,-53.56438833637162
5926.76,-53.93147789413109
5950.6,-53.563550019767135
5963.2,-52.3542485681735
6031.44,-51.33255424512551
6060.0,-50.50308084642515
6104.76,-50.693420092072344
6138.96,-50.69736511727796
6157.08,-51.10156209966168
6181.36,-51.74148476293311
6220.0,-50.90223222618924
6262.68,-49.89930716430769
6281.96,-48.48700110032223
6321.76,-47.94266017346643
6339.12,-47.18488659753464
6367.56,-47.24021295153537
6406.76,-47.36404009231367
6432.24,-46.92233105423861
6493.08,-46.80022633544171
6529.28,-46.46953159994447
6555.8,-47.26915266922676
6569.92,-47.99517885304057
6582.24,-49.01210530213082
6601.2,-49.56240751496517
6619.2,-49.77362899563276
6635.16,-49.854336251830695
6657.2,-49.57285886487925
6697.12,-49.06341871387327
6749.32,-48.97944502984175
6777.68,-48.67520458954387
6807.48,-48.04853476462886
6831.2,-47.59338786835782
6862.56,-47.01485008793883
6892.48,-46.49817560928874
6907.24,-45.971236434755845
6923.04,-45.584380148230125
6937.28,-45.09264575692825
6953.88,-44.35053181263618
