training_step,reward
1.52,
17.08,
22.24,
57.88,
92.92,
178.0,
188.4,
221.96,
287.12,
301.36,
331.68,
360.88,
384.04,
410.64,
432.76,
461.72,
508.96,
565.2,
617.64,
664.72,
717.68,
763.52,
791.92,
805.0,
829.0,
857.84,
887.48,
907.08,
936.48,
961.6,
995.36,
1030.0,-236.91131236284974
1056.0,-242.49288279891013
1074.12,-240.76856224626303
1088.84,-239.2077812924981
1106.04,-240.06135357767346
1117.36,-240.44690359488132
1132.44,-236.04508179679516
1170.84,-232.49557289019225
1204.2,-226.19333516433835
1252.16,-221.6981188224256
1298.16,-214.96269421532747
1340.4,-209.45022481128575
1375.92,-204.89800576373932
1400.52,-199.9021615116298
1427.64,-194.9434999077022
1443.88,-189.11280394479633
1465.44,-184.0610509930551
1491.2,-180.51226510941981
1513.28,-178.16374364912508
1546.08,-176.53566550254823
1573.6,-173.23736514151096
1589.28,-168.22920861840248
1615.0,-165.1736139965057
1641.12,-161.99904107630252
1670.28,-159.11431682646275
1690.04,-156.1071830588579
1729.52,-153.6447659566998
1758.92,-150.74325720638035
1787.04,-150.20784921258684
1825.8,-148.5907545250654
1862.0,-146.0679979267716
1897.4,-143.2966664251685
1917.28,-141.3144142261147
1949.6,-139.44469321623444
1974.68,-136.79855396747587
2004.32,-134.96614903366194
2027.52,-134.38573484575375
2055.92,-133.03069107776506
2083.92,-131.564040699061
2113.12,-130.48303269630298
2140.0,-129.17215753851457
2162.88,-127.64574137566609
2193.12,-126.17743474809453
2222.56,-126.13727022824807
2251.2,-125.6881392506696
2282.88,-124.89887948373331
2310.04,-123.45517343441023
2336.92,-122.78451262721791
2369.84,-121.87679740285499
2399.88,-121.10405260423195
2428.44,-120.77855286782605
2447.24,-120.30399785941466
2476.84,-120.71842847948892
2504.0,-121.6069514161907
2525.28,-122.37312806820498
2548.96,-122.80656989341603
2581.84,-123.93233685230837
2611.84,-124.87256100928411
2633.8,-125.33151664590464
