training_step,reward
442.7283950617284,-292.68960047398923
1429.0477876106195,-173.1620307035151
2348.0212290502795,-129.59733465543673
3236.4725787631273,-119.82173525042128
4223.600280504909,-116.06947309404694
5217.585340314136,-102.92181360390018
6086.526381909548,-99.0891404467911
7005.061356297094,-96.74369901932766
7972.328571428571,-95.21234259322867
8905.739655172414,-81.10034777777719
9853.949400798934,-78.90051847164824
10793.603316326531,-74.0978325485651
11715.552699228792,-74.29613661463432
12669.648688046647,-58.46939650473372
13596.707082833133,-56.27487795003036
14523.95406360424,-60.60395421498445
15445.328169014085,-58.41714105741449
16410.14420062696,-48.70984634879662
17349.072,-52.43524253678322
18298.200466200466,-48.63812110463639
19204.685185185186,-55.81888245663227
20157.905806451614,-42.424649607596855
21093.779639175256,-25.64350297638532
22036.903761061945,-42.75816936002307
22960.48675496689,-40.2460573528036
23915.623015873014,-32.26516264286779
24851.794044665014,-30.55313321863008
25788.396096440872,-41.27579643500351
26706.565379825654,-34.83618211415904
27656.25540025413,-31.645340600303044
28590.591836734693,-31.027100791128316
29546.599752168524,-18.399005924195716
