training_step,reward
0.875,
21.78125,
34.28125,
66.65625,
70.5,
75.375,
78.6875,
90.3125,13.4609375
96.84375,14.0703125
124.40625,13.46484375
129.9375,13.421875
155.34375,13.58203125
175.71875,13.4609375
184.71875,13.44921875
190.09375,13.89453125
199.09375,15.3359375
217.28125,16.08984375
240.21875,16.3984375
263.15625,17.33984375
278.375,18.65625
287.65625,19.76171875
301.09375,20.515625
307.4375,20.82421875
322.65625,21.0078125
333.25,21.61328125
341.96875,22.90625
345.59375,23.52734375
351.15625,23.2890625
361.21875,23.1171875
375.375,23.71484375
382.75,23.9921875
391.8125,24.328125
407.4375,25.36328125
421.75,26.6015625
433.625,27.65625
441.03125,29.51953125
456.90625,30.65234375
470.375,31.96484375
483.40625,33.375
495.4375,33.60546875
505.0625,33.60546875
512.15625,33.25390625
535.78125,34.203125
550.21875,35.8125
560.5625,38.0234375
569.25,38.5234375
578.09375,38.83984375
583.9375,39.56640625
595.4375,41.5
600.84375,42.98828125
615.21875,42.73046875
625.5625,41.2421875
639.40625,41.15234375
657.25,41.3359375
676.46875,41.91015625
693.78125,41.76171875
726.46875,41.2265625
738.71875,41.0703125
771.1875,41.09375
795.6875,41.390625
813.4375,40.7578125
825.28125,41.19140625
831.34375,41.015625
839.78125,41.61328125
850.78125,40.96484375
858.84375,40.16796875
866.71875,40.734375
876.28125,40.88671875
888.3125,41.15234375
901.46875,41.7109375
920.5,43.16796875
931.8125,45.14453125
951.15625,47.2734375
963.9375,48.453125
978.5,48.3125
990.03125,48.8671875
1001.15625,49.87109375
1009.09375,50.57421875
1016.28125,49.58203125
1025.59375,48.9296875
1037.8125,48.578125
1047.5,49.66015625
1061.3125,51.1171875
1072.09375,52.69140625
1083.90625,53.8671875
1092.90625,55.37109375
1102.21875,57.98046875
1108.46875,60.56640625
1114.9375,62.58203125
1120.96875,65.03125
1124.59375,67.265625
1132.625,69.12109375
1138.34375,70.88671875
1146.96875,70.78515625
1156.34375,70.8671875
1161.8125,70.20703125
1173.03125,70.10546875
1184.03125,68.56640625
1190.40625,68.60546875
1201.28125,68.33984375
1209.8125,68.421875
1214.71875,68.125
1222.90625,67.8203125
1235.5,67.796875
1242.375,68.72265625
1246.65625,69.8046875
1254.125,68.9453125
